
    ORGAN DOSE CONVERSION FACTORS FOR AN ADULT HERMAPHRODITE
    CALCULATED FOR A VARIETY OF CT SCANNERS AND CONDITIONS.
    VALUES ARE GIVEN FOR 208 5 MM SLICES SPANNING THE BODY
    FROM 100 MM BELOW THE BOTTOM OF THE TRUNK TO THE TOP OF THE HEAD.

                     ORGANS OR REGIONS
 1 ADRENALS              10 HEART                  19 THYMUS                   
 2 BRAIN                 11 KIDNEYS                20 THYROID                  
 3 BREASTS               12 LIVER                  21 URINARY BLADDER          
 4 EYE LENSES            13 LUNGS                  22 UTERUS                   
 5 GALL BLADDER          14 OVARIES                23 HEAD REGION              
 6 STOMACH               15 PANCREAS               24 TRUNK REGION             
 7 SMALL INTESTINE       16 SKIN                   25 LEG REGION               
 8 UPPER LARGE INTESTINE 17 SPLEEN                 26 SKELETON                 
 9 LOWER LARGE INTESTINE 18 TESTICLES              27 RED MARROW               

 04 PICKER 1200SX: SHAPED FILTER (LEXAN) FOR HEAD IRRADIATION
    FOCUS TO AXIS DISTANCE IS 640 MM
    FAN ANGLE DOES NOT COVER FULL WIDTH OF TRUNK
    X-RAY SPECTRUM HAS MAXIMUM ENERGY OF 130 KEV
    INITIAL FILTRATION IS 0.7 MM OF ALUMINIUM

    CONVERSION FACTORS AND STATISTICAL UNCERTAINTIES(%) FOR ORGANS IN EACH SLICE
22 1.931E-04 1.434E+01 24 1.363E-04 1.741E+00 25 3.828E-03 4.466E-01 26 1.892E-03 8.509E-01 27 2.410E-04 1.539E+00
 10  20
 3 7.832E-06 6.645E+01  5 3.307E-05 1.000E+02  6 7.363E-07 9.638E+01  7 3.666E-05 1.346E+01  8 2.854E-05 2.436E+01
 9 7.262E-04 5.385E+00 11 1.689E-06 6.672E+01 12 1.349E-06 5.147E+01 13 8.751E-08 6.997E+01 14 1.249E-04 3.727E+01
15 4.560E-07 1.000E+02 16 1.376E-03 1.238E+00 17 2.683E-07 6.883E+01 18 3.423E-03 7.614E+00 21 4.994E-04 1.166E+01
22 1.481E-04 1.749E+01 24 1.520E-04 1.562E+00 25 3.825E-03 3.713E-01 26 1.882E-03 6.547E-01 27 2.462E-04 1.574E+00
 11  16
 3 3.448E-06 6.384E+01  6 5.377E-07 8.279E+01  7 4.767E-05 1.120E+01  8 4.008E-05 2.141E+01  9 7.615E-04 6.761E+00
11 2.965E-06 9.444E+01 12 2.284E-06 3.727E+01 14 4.757E-05 5.107E+01 16 1.845E-03 8.412E-01 18 6.056E-03 3.961E+00
21 6.171E-04 1.174E+01 22 1.545E-04 2.085E+01 24 1.719E-04 1.236E+00 25 3.764E-03 3.583E-01 26 1.773E-03 9.260E-01
27 2.435E-04 1.476E+00
 12  19
 3 4.017E-06 5.965E+01  6 1.132E-06 7.506E+01  7 4.303E-05 9.582E+00  8 4.680E-05 1.960E+01  9 8.805E-04 5.999E+00
11 2.335E-06 6.639E+01 12 6.533E-07 4.225E+01 13 1.004E-07 1.000E+02 14 1.585E-04 3.304E+01 15 8.029E-07 7.361E+01
16 1.462E-03 1.072E+00 17 4.752E-06 8.729E+01 18 1.824E-02 2.757E+00 21 6.791E-04 8.531E+00 22 2.626E-04 1.375E+01
24 1.948E-04 1.102E+00 25 3.747E-03 3.753E-01 26 1.757E-03 8.309E-01 27 2.507E-04 1.498E+00
 13  20
 3 4.956E-06 4.381E+01  6 4.446E-06 5.682E+01  7 5.032E-05 9.239E+00  8 4.305E-05 1.850E+01  9 1.070E-03 4.381E+00
10 4.052E-07 1.000E+02 11 2.153E-06 5.163E+01 12 2.296E-06 3.364E+01 13 1.563E-07 9.498E+01 14 2.082E-04 3.053E+01
15 1.009E-07 1.000E+02 16 1.431E-03 1.221E+00 17 2.653E-06 8.844E+01 18 3.170E-02 2.196E+00 21 8.510E-04 7.667E+00
22 2.825E-04 1.547E+01 24 2.222E-04 1.274E+00 25 3.666E-03 4.053E-01 26 1.687E-03 9.843E-01 27 2.673E-04 1.170E+00
 14  21
 3 6.116E-06 5.307E+01  5 2.532E-05 7.579E+01  6 3.483E-07 6.904E+01  7 6.500E-05 1.304E+01  8 4.907E-05 1.874E+01
 9 1.062E-03 4.354E+00 10 1.837E-08 1.000E+02 11 1.869E-06 5.610E+01 12 2.659E-06 3.189E+01 13 3.912E-08 7.372E+01
14 2.131E-04 4.378E+01 15 4.229E-07 1.000E+02 16 1.468E-03 9.331E-01 17 2.127E-06 5.783E+01 18 4.087E-02 1.825E+00
21 7.821E-04 1.058E+01 22 2.849E-04 1.479E+01 24 2.523E-04 8.929E-01 25 3.643E-03 3.775E-01 26 1.681E-03 9.845E-01
27 2.765E-04 1.235E+00
 15  20
 3 1.766E-06 6.203E+01  5 7.264E-07 1.000E+02  6 3.562E-06 4.403E+01  7 7.178E-05 1.021E+01  8 4.381E-05 1.684E+01
 9 1.298E-03 4.203E+00 11 4.501E-06 4.653E+01 12 4.119E-06 3.289E+01 13 3.055E-08 1.000E+02 14 1.299E-04 3.985E+01
15 1.464E-06 6.952E+01 16 1.440E-03 9.783E-01 17 4.446E-06 9.613E+01 18 4.645E-02 1.965E+00 21 1.183E-03 7.265E+00
22 3.562E-04 1.211E+01 24 2.889E-04 1.050E+00 25 3.570E-03 3.329E-01 26 1.636E-03 7.678E-01 27 2.814E-04 8.503E-01
 16  21
